arquivo,previsto,gab_classe,acertou,area_medida,area_gab,dif,err_pct,n_feridas
10_c1_nn.jpg,fechada,fechada,1,18.0396981627297,0,18.0396981627297,8.12435779235455e+18,66
10_c2_nn.jpg,fechada,fechada,1,16.4253937007874,0,16.4253937007874,7.39733969502798e+18,89
10_c3_nn.jpg,fechada,fechada,1,14.2191798941799,6,8.2191798941799,136.986331569665,101
10_c4_nn.jpg,fechada,fechada,1,13.3467592592593,5,8.34675925925926,166.935185185185,95
11_c1_nn.jpg,fechada,fechada,1,13.3622703412074,0,13.3622703412074,6.01783157294853e+18,87
11_c2_nn.jpg,fechada,fechada,1,8.20879265091864,0,8.20879265091864,3.69691155238388e+18,76
11_c3_nn.jpg,fechada,fechada,1,12.0314304461942,0,12.0314304461942,5.41847456742143e+18,102
12_3_nn.jpg,fechada,fechada,1,7.21896325459318,0,7.21896325459318,3.25113202233871e+18,65
12_c1_nn.jpg,fechada,fechada,1,8.34783464566929,0,8.34783464566929,3.75953049995867e+18,71
12_c2_nn.jpg,fechada,fechada,1,10.6081349206349,0,10.6081349206349,4.77747924756674e+18,118
1_c1_nn.jpg,fechada,fechada,1,13.9983595800525,17,-3.00164041994751,17.6567083526324,90
1_c2_nn.jpg,fechada,fechada,1,32.5809711286089,22,10.5809711286089,48.0953233118587,79
1_c3_nn.jpg,fechada,fechada,1,30.9979658792651,20,10.9979658792651,54.9898293963254,76
2_c1_nn.jpg,fechada,fechada,1,8.70721784776903,1,7.70721784776903,770.721784776903,90
2_c2_nn.jpg,fechada,fechada,1,8.87290026246719,1,7.87290026246719,787.290026246719,88
2_c3_nn.jpg,fechada,fechada,1,9.96469816272966,0,9.96469816272966,4.48770109325288e+18,78
2_c4_nn.jpg,fechada,fechada,1,10.6055118110236,0,10.6055118110236,4.77629790401994e+18,112
3_c1_nn.jpg,fechada,fechada,1,9.55628306878307,16,-6.44371693121693,40.2732308201058,68
3_c2_nn.jpg,fechada,fechada,1,11.6609788359788,18,-6.33902116402117,35.216784244562,83
3_c3_nn.jpg,fechada,fechada,1,27.6752624671916,0,27.6752624671916,1.24638301734625e+19,76
3_c4_nn.jpg,fechada,fechada,1,11.7433727034121,16,-4.25662729658793,26.6039206036745,90
4_c1_nn.jpg,fechada,fechada,1,8.84847883597883,0,8.84847883597883,3.985000598851e+18,87
4_c2_nn.jpg,fechada,fechada,1,8.89768518518518,0,8.89768518518518,4.007161168446e+18,93
4_c3_nn.jpg,fechada,fechada,1,9.81025132275132,0,9.81025132275132,4.41814442015538e+18,87
4_c4_nn.jpg,fechada,fechada,1,9.60715223097113,0,9.60715223097113,4.32667672074932e+18,109
5a_c1_nn.jpg,fechada,fechada,1,16.9652116402116,4,12.9652116402116,324.130291005291,97
5a_c2_nn.jpg,fechada,fechada,1,14.1987433862434,0,14.1987433862434,6.3945455423415e+18,76
5a_c3_nn.jpg,fechada,fechada,1,16.2681758530184,2,14.2681758530184,713.408792650918,91
5a_c4_nn.jpg,fechada,fechada,1,14.1399470899471,2,12.1399470899471,606.997354497355,75
5b_c1_nn.jpg,fechada,fechada,1,26.0837962962963,15,11.0837962962963,73.891975308642,89
5b_c2_nn.jpg,fechada,fechada,1,28.0975529100529,15,13.0975529100529,87.3170194003527,98
5b_c3_nn.jpg,fechada,fechada,1,16.9641732283465,14,2.96417322834646,21.1726659167604,89
5b_c4_nn.jpg,fechada,fechada,1,18.0458005249344,13,5.04580052493438,38.8138501918029,89
6a_c1_nn.jpg,fechada,fechada,1,27.5623359580053,26,1.56233595800525,6.00898445386636,58
6a_c2_nn.jpg,fechada,fechada,1,17.2347112860892,25,-7.76528871391076,31.061154855643,87
6a_c3_nn.jpg,fechada,fechada,1,16.2339238845144,27,-10.7660761154856,39.8743559832799,98
6a_c4_nn.jpg,fechada,fechada,1,14.5589285714286,27,-12.4410714285714,46.0780423280423,76
6b_c1_nn.jpg,fechada,fechada,1,40.102624671916,58,-17.897375328084,30.8575436691103,66
6b_c2_nn.jpg,fechada,fechada,1,25.1640873015873,72,-46.8359126984127,65.0498787477954,79
6b_c3_nn.jpg,fechada,fechada,1,20.726455026455,87,-66.273544973545,76.1764884753391,72
6b_c4_nn.jpg,fechada,fechada,1,15.7433862433862,100,-84.2566137566138,84.2566137566137,66
7_c1_nn.jpg,aberta,aberta,1,47.4853174603175,117,-69.5146825396825,59.4142585809252,92
7_c2_nn.jpg,fechada,aberta,0,13.139501312336,88,-74.860498687664,85.0687485087091,90
7_c3_nn.jpg,fechada,fechada,1,18.6089238845144,90,-71.3910761154856,79.3234179060951,68
8_c1_nn.jpg,fechada,fechada,1,11.0850393700787,0,11.0850393700787,4.99225791764739e+18,86
8_c2_nn.jpg,fechada,fechada,1,10.111044973545,0,10.111044973545,4.55360983751835e+18,78
8_c3_nn.jpg,fechada,fechada,1,8.33763227513228,0,8.33763227513228,3.75493576074379e+18,81
9_c1_nn.jpg,fechada,fechada,1,11.2778215223097,0,11.2778215223097,5.0790792805425e+18,95
9_c2_nn.jpg,fechada,fechada,1,9.60990813648294,0,9.60990813648294,4.32791787025293e+18,96
9_c3_nn.jpg,fechada,fechada,1,9.75178571428571,0,9.75178571428571,4.39181385090541e+18,89
9_c4_nn.jpg,fechada,fechada,1,12.7147486772487,0,12.7147486772487,5.72621374049666e+18,105
